rank,doi,year,authors,title,journal,citations,altmetric_score
103,10.1111/ecog.07169,2025,"Philippe‐Lesaffre, M; Bradshaw, CJA; Castañeda, I; Llewelyn, J; Dickman, CR; Lepczyk, CA; Fantle-Lepczyk, J; Marino, C; Courchamp, F; Bonnaud, E",Differential predation patterns of free‐ranging cats among continents,Ecography,0,
104,10.1093/biosci/biae010,2024,"Carneiro, L; Hulme, PE; Cuthbert, RN; Kourantidou, M; Bang, A; Haubrock, PJ; Bradshaw, CJA; Balzani, P; Bacher, S; Latombe, G; Bodey, TW; Probert, AF; Quilodrán, CS; Courchamp, F",Benefits do not balance costs of biological invasions,BioScience,0,
105,10.1002/ecs2.70082,2024,"Hamnett, PW; Saltré, F; Page, B; Tarran, M; Korcz, M; Fielder, K; Andrews, L; Bradshaw, CJA",Stochastic population models to identify optimal and cost‐effective harvest strategies for feral pig eradication,Ecosphere,0,
106,10.1111/j.1523-1739.2010.01448.x,2010,"Laurance, WF; Koh, LP; Butler, R; Sodhi, NS; Bradshaw, CJA; Neidel, JD; Consunji, H; Mateo Vega, J",Improving the performance of the Roundtable on Sustainable Palm Oil for Nature Conservation,Conserv Biol,0,
107,10.1371/journal.pone.0257141,2021,"Bradshaw, CJA; Chalker, JM; Crabtree, SA; Eijkelkamp, BA; Long, JA; Smith, JR; Trinajstic, K; Weisbecker, V",A fairer way to compare researchers at any career stage and in any discipline using open-access citation data,PLoS One,0,
108,10.1016/j.apenergy.2014.09.062,2014,"Hong, S; Bradshaw, CJA; Brook, BW",Nuclear power can reduce emissions and maintain a strong economy: rating Australia’s optimal future electricity-generation mix by technologies and policies,Appl Energy,0,
109,10.1890/070193,2009,"Bradshaw, CJA; Sodhi, NS; Brook, BW",Tropical turmoil: a biodiversity tragedy in progress,Front Ecol Environ,0,
110,10.1016/j.energy.2013.02.010,2013,"Hong, S; Bradshaw, CJA; Brook, BW",Evaluating options for sustainable energy mixes in South Korea using scenario analysis,Energy,0,
111,10.1016/j.enpol.2013.01.002,2013,"Hong, S; Bradshaw, CJA; Brook, BW",Evaluating options for the future energy mix of Japan after the Fukushima nuclear crisis,Energy Policy,75,
112,10.1016/j.cub.2011.09.028,2011,"Wernberg, T; Russell, BD; Thomsen, MS; Gurgel, CFD; Bradshaw, CJA; Poloczanska, ES; Connell, SD",Seaweed communities in retreat from ocean warming,Curr Biol,0,
113,10.1111/ecog.04530,2019,"Shabani, F; Ahmadi, M; Peters, KJ; Haberle, S; Champreux, A; Saltré, F; Bradshaw, CJA",Climate‐driven shifts in the distribution of koala‐browse species from the Last Interglacial to the near future,Ecography,26,
114,10.1002/ece3.1094,2014,"Sequeira, AMM; Roetman, PEJ; Daniels, CB; Baker, AK; Bradshaw, CJA",Distribution models for koalas in South Australia using citizen science‐collected data,Ecol Evol,0,
115,10.1002/2015GL066344,2015,"Turney, CSM; Thomas, ZA; Hutchinson, DK; Bradshaw, CJA; Brook, BW; England, MH; Fogwill, CJ; Jones, RT; Palmer, J; Hughen, KA; Cooper, A",Obliquity‐driven expansion of North Atlantic sea ice during the last glacial,Geophys Res Lett,0,
116,10.1111/aec.13492,2024,"Mathwin, R; Wassens, S; Turner, A; Heard, GW; Hall, A; Bradshaw, CJA",Modelling the sustainable harvest of wild populations for the conservation of a threatened amphibian,Austral Ecol,0,
